,gene,resistoflay,califlay,clermont,campania,boeing,lion,lazio,whale,pigeon,caladonia,meerkat,Repeat region,Effector_x,Feature,Domains ,Interpro,Homologous,Accession,GO annotation,Extra,COI,TranscriptId,Query.name,Contigname,start,stop,strand,geneLenght,Effector_y,below1Kbp,repeatregion,Signalp,name,product,GOannotation,putative.effector,BUSCO.genename,contig_length
10,bfb93c95-9ed8-46d2-abee-4b237bae8fe2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043411764699999994,0.0,0.7162097553,,,,,,,,,,,bfb93c95-9ed8-46d2-abee-4b237bae8fe2,pfs1|11439-00001,Pb_661_length_8901_cov_42.3041_ID_1321,655,3175,+,641,,,,,Pot1,Protection of telomeres protein 1,GO:0000723|GO:0000784|GO:0003677,,,8901
11,6a6a6d55-e945-4551-b059-973d6103caf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706682558,0.0,0.6994629421999999,,,,,,,,,,,6a6a6d55-e945-4551-b059-973d6103caf0,pfs1|596-00001,Pb_1131_length_4234_cov_71.7477_ID_2261,1359,2334,-,324,,,,,,,,,,4234
12,b6fc43ca-aee2-4469-9b85-b1d3fde0ca0f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529276471,0.0,0.6805246995,,,,,,,,,,,b6fc43ca-aee2-4469-9b85-b1d3fde0ca0f,pfs1|8459-00001,Pb_378_length_20309_cov_30.4538_ID_755,12933,13596,-,220,,,inside repeat region,,TY3B-I_61,Transposon Ty3-I Gag-Pol polyprotein,GO:0003676|GO:0015074,,,20309
13,aac765ed-bd17-4780-a4d1-dcd8211d2c15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526433824,0.0,0.6691098721000001,,,,,,,,,,,aac765ed-bd17-4780-a4d1-dcd8211d2c15,pfs1|7440-00001,Pb_325_length_24130_cov_42.2384_ID_649,12514,14810,+,483,,,,,HCF101,Fe-S cluster assembly factor HCF101; chloroplastic,GO:0005524,,,24130
14,85fcd868-b917-4797-b74b-8b1f1b620879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521363304,0.0,0.6527601947999999,,,,,,,,,,,85fcd868-b917-4797-b74b-8b1f1b620879,pfs1|12394-00001,Pb_805_length_6706_cov_43.1935_ID_1609,4892,5645,+,250,,,inside repeat region,,,,,,,6706
15,04269018-aafc-426d-a41d-0521e2a2a422,0.0,0.0,0.0,0.0117575776,0.0,0.0,0.0,0.0,0.036887916,0.0,0.6454693779,,,,,,,,,,,04269018-aafc-426d-a41d-0521e2a2a422,pfs1|10651-00001,Pb_554_length_11749_cov_24.3474_ID_1107,2269,3154,+,254,,,inside repeat region,,,,GO:0003676,,,11749
16,9bbc1bf1-3477-432c-ba0f-2a5d20d5f61c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015078451000000001,0.0,0.6282524175,,,,,,,,,,,9bbc1bf1-3477-432c-ba0f-2a5d20d5f61c,pfs1|10681-00001,Pb_55_length_73783_cov_40.74_ID_109,7690,8330,-,167,,,,,Pole3,DNA polymerase epsilon subunit 3,GO:0005622|GO:0043565|GO:0046982,,,73783
17,b9e0855e-75fb-41d8-934b-04345122f19e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382313925,0.0,0.6193917327,,,,,,,,,,,b9e0855e-75fb-41d8-934b-04345122f19e,pfs1|11935-00001,Pb_736_length_7454_cov_45.5238_ID_1471,4198,5683,+,494,,,,SignalP,amt1_0,Ammonium transporter 1,GO:0008519|GO:0015696|GO:0016020|GO:0008519|GO:0016020|GO:0072488,,,7454
18,dedb1dc6-7c5d-4c65-beb4-446e6130c4ef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743743533,0.0,0.6099185871,,,,,,,,,,,dedb1dc6-7c5d-4c65-beb4-446e6130c4ef,pfs1|549-00001,Pb_111_length_54848_cov_32.8472_ID_221,45538,46627,-,362,,,,,RAB38,Ras-related protein Rab-38,GO:0003924|GO:0005525|GO:0006184|GO:0006886|GO:0006913|GO:0007165|GO:0005525|GO:0005525|GO:0005622|GO:0007264|GO:0005525|GO:0006184|GO:0007165|GO:0016020|GO:0005525|GO:0007264|GO:0005525|GO:0007264|GO:0015031,,,54848
19,29aa2d83-f9ce-4edf-aa99-22b51633bb2c,0.0,0.0,0.0,0.1986898269,0.0,0.0,0.0,0.0,0.0243433279,0.0,0.5972906788,,,,,,,,,,,29aa2d83-f9ce-4edf-aa99-22b51633bb2c,pfs1|12925-00001,Pb_8_length_143205_cov_37.8924_ID_15,114726,115077,-,116,,,,,,,,,,143205
20,e1749943-6d97-4448-9950-2c6c2d2297aa,0.0,0.025089262299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.031638369,0.0,0.5943079014,,,,,,,,,,,e1749943-6d97-4448-9950-2c6c2d2297aa,pfs1|353-00001,Pb_108_length_56371_cov_33.4102_ID_215,33899,34898,-,332,,,,,ZIP5,Zinc transporter 5,GO:0005385|GO:0016021|GO:0071577|GO:0016020|GO:0030001|GO:0046873|GO:0055085,,,56371
21,e8e6f918-9a5d-42ac-86fb-654d2a4436e4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325438596,0.0,0.5121131738,,,,,,,,,,,e8e6f918-9a5d-42ac-86fb-654d2a4436e4,pfs1|9723-00001,Pb_463_length_15109_cov_32.3775_ID_925,10974,11685,-,236,,,inside repeat region,,BQ2027_MB2253C_11,Uncharacterized protein Mb2253c,GO:0003676|GO:0003676|GO:0004523,,,15109
22,3f00ff95-a0aa-4ef7-b857-a1ef1acf6d09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.4776764706,,,,,,,,,,,3f00ff95-a0aa-4ef7-b857-a1ef1acf6d09,pfs1|12994-00001,Pb_914_length_5603_cov_48.3101_ID_1827,3737,4376,+,212,,,inside repeat region,,,,,,,5603
23,90cbed76-445b-4d17-a6a0-ede71ce855ae,0.0,0.0,0.053640012,0.0,0.0247303883,0.0,0.7670655658,0.0,0.7947373546,0.0,0.45025044490000005,,,SNP,CoA_transf_3 superfamily,CoA-transferase family 3 domain superfamily,Formyl-coenzyme A transferase [Phytophthora megakarya],OWZ22223.1,,,,90cbed76-445b-4d17-a6a0-ede71ce855ae,pfs1|12314-00001,Pb_7_length_145100_cov_37.9078_ID_13,5179,6520,+,446,,,,,Caur_2266,Succinyl-CoA--D-citramalate CoA-transferase,GO:0003824,,,145100
24,8277fd33-2016-4a39-996f-ba6fdf39cde6,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.031262337599999995,0.0,0.41832285399999997,,,,,,,,,,,8277fd33-2016-4a39-996f-ba6fdf39cde6,pfs1|8306-00001,Pb_36_length_87424_cov_33.8152_ID_71,43545,45054,+,502,,,,,AVT1D_0,Amino acid transporter AVT1D,,,,87424
25,b92269cf-890e-485e-b234-f9bdaedc0e52,0.0,0.0,0.0,0.0437270226,0.0,0.0,0.0,0.0114245766,0.0,0.0,0.4049292068,,,,,,,,,,,b92269cf-890e-485e-b234-f9bdaedc0e52,pfs1|10321-00001,Pb_517_length_12828_cov_28.0303_ID_1033,11901,12470,+,151,,,,,,,,,,12828
26,b7ef2152-4042-4b7c-82ec-5bbd900b98b0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217770792,0.0,0.3906584464,,,,,,,,,,,b7ef2152-4042-4b7c-82ec-5bbd900b98b0,pfs1|9549-00001,Pb_44_length_81590_cov_34.6207_ID_87,13391,15687,-,708,,,,,,,,,,81590
27,1d93dca1-1003-445e-9b1f-b5dbeb9bb0fa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380594017,0.0,0.3792505882,,,,,,,,,,,1d93dca1-1003-445e-9b1f-b5dbeb9bb0fa,pfs1|5614-00001,Pb_2517_length_1608_cov_32.4436_ID_5033,97,1216,+,372,,,,,,,,,,1608
28,0934a3f0-8245-4e79-817b-4f13a41e81c0,0.0,0.0,0.13349800779999998,0.0339726174,0.0,0.0,1.2504766347,0.0,1.0386057772,0.0,0.3676648136,,,SNP,HTH CenpB-type DNA-binding domain,Signal & Transmembrane,DNA repair helicase UVH6 [Phytophthora nicotianae],KUF94188.1,,,,0934a3f0-8245-4e79-817b-4f13a41e81c0,pfs1|6345-00001,Pb_27_length_94143_cov_35.7418_ID_53,77983,78457,+,157,,,,,,,GO:0016021,,,94143
29,811fcf0a-3567-49f2-8141-3f50b3f97fa7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165882353,0.0,0.3512461814,,,,,,,,,,,811fcf0a-3567-49f2-8141-3f50b3f97fa7,pfs1|1837-00001,Pb_141_length_49610_cov_36.1678_ID_281,39489,41460,+,656,,,,,,,,,,49610
30,55c88f81-cb67-4346-89f6-e96380ab958e,0.0,0.06602692639999999,0.0,0.0,0.2062694243,0.0,0.0,0.0,0.0125660323,0.0,0.3487501064,,,,,,,,,,,55c88f81-cb67-4346-89f6-e96380ab958e,pfs1|12819-00001,Pb_88_length_59385_cov_26.748_ID_175,698,1982,-,427,,,,,,,,,,59385
31,fbd83fdd-df59-4f90-8d1e-9af684151c56,0.0,0.0,0.0097299028,0.010884591,0.0,0.0,0.0,0.0,0.0355420713,0.167549404,0.34300482179999997,,,,,,,,,,,fbd83fdd-df59-4f90-8d1e-9af684151c56,pfs1|1307-00001,Pb_129_length_51724_cov_43.3785_ID_257,48220,51069,+,259,,,,,,,,,,51724
32,5cedf62e-9bd5-48ff-8d8f-bfb17ac60a78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173636364,0.0,0.3361765476,,,,,,,,,,,5cedf62e-9bd5-48ff-8d8f-bfb17ac60a78,pfs1|1993-00001,Pb_146_length_48841_cov_29.2513_ID_291,18273,20550,-,758,,,,,,,,,,48841
33,65959d4f-3475-43c8-8014-36ccdc47599b,0.0,0.0,0.0,0.0,0.0668034212,0.0,0.0,0.0,0.017368518500000003,0.0,0.3135437575,,,,,,,,,,,65959d4f-3475-43c8-8014-36ccdc47599b,pfs1|3671-00001,Pb_1920_length_2230_cov_39.2439_ID_3839,30,1453,+,396,,,,,,,,,,2230
34,f48da25c-aabd-48a0-a8fa-18605f54a86b,0.0,0.0,0.0,0.0114410468,0.0,0.0,0.0,0.0,0.0394256057,0.0,0.3118689337,,,,,,,,,,,f48da25c-aabd-48a0-a8fa-18605f54a86b,pfs1|1873-00001,Pb_142_length_49468_cov_42.0054_ID_283,43055,44504,+,408,,,,,,,,,,49468
35,0ee5e631-f378-4b71-83e2-1513e82e4475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162219577,0.0,0.2984173344,,,,,,,,,,,0ee5e631-f378-4b71-83e2-1513e82e4475,pfs1|13066-00001,Pb_930_length_5524_cov_28.5546_ID_1859,1886,3026,-,305,,,,,,,,,,5524
36,27d14dd5-ae17-4182-8dcf-e77027e8ced0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924067734,,,,,,,,,,,27d14dd5-ae17-4182-8dcf-e77027e8ced0,pfs1|622-00001,Pb_113_length_54746_cov_33.5477_ID_225,13821,14673,+,283,,,,,rnhB,Ribonuclease HII,GO:0003676|GO:0004523,,,54746
37,420f12b3-c6dc-47b3-85ea-275a14982cf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28807869070000003,,,,,,,,,,,420f12b3-c6dc-47b3-85ea-275a14982cf2,pfs1|1402-00001,Pb_1314_length_3529_cov_30.7842_ID_2627,571,1327,-,251,,,,,,,,,,3529
38,27ba17a5-bcb6-469c-a5a2-324c293509df,0.0,0.2793346077,0.0735542416,0.0,0.052111223,0.0,0.0775177852,0.0,0.6206512283,0.0,0.2774491484,,,,,,,,,,,27ba17a5-bcb6-469c-a5a2-324c293509df,pfs1|2500-00001,Pb_159_length_46397_cov_33.8366_ID_317,10633,12313,-,402,,,,,Ess2,Splicing factor ESS-2 homolog,,,,46397
39,7147b6e7-185e-41cc-99a0-badf2b3e8798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021971693100000002,0.0988011696,0.2697635841,,,,,,,,,,,7147b6e7-185e-41cc-99a0-badf2b3e8798,pfs1|2443-00001,Pb_157_length_47100_cov_33.33_ID_313,38109,39078,-,322,,,,,ABCI20,ABC transporter I family member 20,GO:0005524|GO:0016887,,,47100
40,cd0517a1-d765-4ab7-a235-b5901b372976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26769149579999996,,,,,,,,,,,cd0517a1-d765-4ab7-a235-b5901b372976,pfs1|10235-00001,Pb_509_length_13112_cov_45.4848_ID_1017,3502,5025,+,481,,,inside repeat region,,,,,,,13112
41,d17ecc90-74e0-47e0-8926-c7da534309b7,0.0,0.2574529846,0.0,0.0,0.0757996562,0.0,0.507896635,0.0,1.01882566,0.0,0.26283220399999996,,,SNP,Pol kappa,DNA polymerase,DNA polymerase kappa [Phytophthora nicotianae],KUF77118.1,,,,d17ecc90-74e0-47e0-8926-c7da534309b7,pfs1|5415-00001,Pb_244_length_36199_cov_36.7241_ID_487,17746,20058,+,745,,,,,POLK,DNA polymerase kappa,GO:0003684|GO:0003887|GO:0006281|GO:0003684|GO:0006281,,,36199
42,de50420e-f088-4873-b047-f7a3d21cf2e3,0.0,0.0,0.0,0.0,0.0,0.0,0.0327614752,0.0,0.6662657778,0.0,0.2618276693,,,,,,,,,,,de50420e-f088-4873-b047-f7a3d21cf2e3,pfs1|1132-00001,Pb_125_length_52291_cov_35.4051_ID_249,4493,5123,+,209,,,,,,,,,,52291
43,cee6dfaa-8a8f-4eaf-8c2c-56327737f11b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172049689,0.0,0.2427788082,,,,,,,,,,,cee6dfaa-8a8f-4eaf-8c2c-56327737f11b,pfs1|6520-00001,Pb_287_length_31403_cov_33.4188_ID_573,30521,30980,+,152,,,,,,,,,,31403
44,a4f8b517-9edc-4510-93fe-64f50bb907d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6617982831,0.2396393585,,,,,,,,,,,a4f8b517-9edc-4510-93fe-64f50bb907d2,pfs1|7251-00001,Pb_316_length_25846_cov_44.5861_ID_631,12302,13093,+,239,,,,,,,,,,25846
45,061ddd0e-1147-4471-9e88-a69ec5ec899c,0.0,0.1984637719,0.0153430205,0.0,0.1426031462,0.0,0.023471938799999998,0.0,0.6106328203,0.0,0.2348733735,,,,,,,,,,,061ddd0e-1147-4471-9e88-a69ec5ec899c,pfs1|3860-00001,Pb_198_length_41244_cov_30.9466_ID_395,33607,36378,+,871,,,,,,,,,,41244
46,35b20c77-b911-437c-9e48-769144dfa005,0.1056293782,0.0,0.0,0.0,0.0,0.18893820390000002,0.0,0.0,0.0136589424,0.0,0.23198586780000002,,,,,,,,,,,35b20c77-b911-437c-9e48-769144dfa005,pfs1|5186-00001,Pb_2374_length_1718_cov_37.9874_ID_4747,686,1487,-,266,Yes,,,SignalP,,,,RXLR,,1718
47,c171f1e9-e132-4784-8216-43dd8827a4f7,0.0,0.0337203834,0.054917549100000004,0.0,0.0,0.0688933817,0.0,0.0,0.0,0.0,0.22181109370000002,,,,,,,,,,,c171f1e9-e132-4784-8216-43dd8827a4f7,pfs1|6287-00001,Pb_278_length_31990_cov_26.9323_ID_555,28858,30006,-,187,,,,,,,,,,31990
48,716651dc-e862-4288-b9ab-2dff1de7ae7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21768484850000003,,,,,,,,,,,716651dc-e862-4288-b9ab-2dff1de7ae7b,pfs1|11755-00001,Pb_704_length_8248_cov_65.7748_ID_1407,555,894,+,112,,,inside repeat region,,,,,,,8248
49,dee6c798-a348-4fd5-ba2b-1035936fd64a,0.0,0.5513589505,0.06972100860000001,0.0,0.0728132497,0.0,0.0172223993,0.0,0.5099495125,0.0,0.2150251738,,,SNP,Zinc finger / WD40/YVTN / Bromodomain,WD40/YVTN repeat-like-containing domain superfamily,Hypothetical,,,,,dee6c798-a348-4fd5-ba2b-1035936fd64a,pfs1|10968-00001,Pb_59_length_70245_cov_35.6896_ID_117,15410,22331,-,2256,,,,,Brwd3,Bromodomain and WD repeat-containing protein 3,GO:0005515,,,70245
50,95cce89a-3822-4a16-867e-29596a2a548d,0.0,0.0,0.0,0.0690229543,0.0,0.1788600098,0.0,0.0,0.0,0.0,0.2128790554,,,,,,,,,,,95cce89a-3822-4a16-867e-29596a2a548d,pfs1|1551-00001,Pb_1353_length_3421_cov_51.6114_ID_2705,490,1360,-,289,,,,,,,,,,3421
51,d8aeec11-da58-4669-af28-9d0f26dfd30c,0.0,0.0,0.0339184708,0.0,0.024803570499999997,0.0,0.9083242056999999,0.0,1.0977215107,0.0,0.2113092896,,,SNP,,,galactokinase [Phytophthora parasitica],ETL93913.1,,,,d8aeec11-da58-4669-af28-9d0f26dfd30c,pfs1|10113-00002,Pb_4_length_175690_cov_33.1881_ID_7,21494,21982,-,75,,,,,,,,,,175690
52,95818066-9234-4854-abaf-aa7712788614,0.0,0.199534202,0.0396901336,0.0,0.0377455025,0.0,0.1071743316,0.0,0.6426054650999999,0.0,0.2054591243,,,,,,,,,,,95818066-9234-4854-abaf-aa7712788614,pfs1|843-00001,Pb_1192_length_3976_cov_27.059_ID_2383,3131,3422,+,96,,,,,F27D4.1,Probable electron transfer flavoprotein subunit alpha; mitochondrial,,,,3976
53,5c8dd266-2818-409f-a127-8b417690a7a6,0.0185858586,0.0,0.0122199819,0.0,0.0,0.0176266234,0.0,0.0,0.6598762132,0.0,0.1975901012,,,,,,,,,,,5c8dd266-2818-409f-a127-8b417690a7a6,pfs1|6684-00001,Pb_294_length_29926_cov_49.1436_ID_587,57,2084,-,661,,,,,,,,,,29926
54,89bae3f4-990e-4799-9175-4d5c42f8e2ce,0.0,0.0172082693,0.0,0.0101376996,0.0,0.0,0.0,0.0,0.22475630800000002,0.0,0.1864227273,,,,,,,,,,,89bae3f4-990e-4799-9175-4d5c42f8e2ce,pfs1|331-00001,Pb_1087_length_4495_cov_74.383_ID_2173,1978,2660,+,200,,,,SignalP,,,,,,4495
55,61da11e9-e718-4060-9000-137837e738f7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1824403409,,,,,,,,,,,61da11e9-e718-4060-9000-137837e738f7,pfs1|9925-00001,Pb_482_length_14303_cov_32.6249_ID_963,12926,13519,+,165,,,,,,,,,,14303
56,f2e281ce-3059-4a3e-9f93-b1ff6f1fb15c,0.0,0.0,0.0168434077,0.0,0.2253113346,0.05552122650000001,0.0,0.0,0.0,0.0,0.17879702420000002,,,,,,,,,,,f2e281ce-3059-4a3e-9f93-b1ff6f1fb15c,pfs1|9719-00001,Pb_463_length_15109_cov_32.3775_ID_925,7337,8507,+,306,,,,,,,,,,15109
57,22313cd9-53b1-43b9-a60d-539e3d25216f,0.1510475984,0.3090274885,0.0,0.0,0.3059627905,0.0,0.0,0.034617834900000005,0.7990337106000001,0.0,0.1785798156,,,SNP,SPT2 / SNF2_N superfamily,SNF2-related,Transcription termination factor 2 [Phytophthora megakarya],OWZ23931.1,,,,22313cd9-53b1-43b9-a60d-539e3d25216f,pfs1|12324-00001,Pb_7_length_145100_cov_37.9078_ID_13,32246,34856,-,869,,,,,rhp16_1,ATP-dependent helicase rhp16,GO:0003677|GO:0005524,,,145100
58,a19c5594-f30d-42a0-9fe7-62a7ce05aeb6,0.0,0.0,0.020927305900000002,0.0,0.0,0.0286390993,0.0,0.0,0.0188151386,0.0,0.17261219579999998,,,,,,,,,,,a19c5594-f30d-42a0-9fe7-62a7ce05aeb6,pfs1|4263-00001,Pb_206_length_40284_cov_37.4629_ID_411,37575,38637,+,353,Yes,,,SignalP,,,,RXLR,,40284
59,454d7396-bcf9-4745-aa06-e7bd09f6ea95,0.0,0.0,0.0,0.17884684050000002,0.0,0.0,0.0,0.0201458256,0.0,0.0,0.172575538,,,,,,,,,,,454d7396-bcf9-4745-aa06-e7bd09f6ea95,pfs1|52-00001,Pb_1017_length_4930_cov_78.5147_ID_2033,4187,4520,+,110,,,inside repeat region,,,,,,,4930
60,462c37f1-40ba-4c74-977f-b93d3dce1b9a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203777311,0.0,0.17084945559999998,,,,,,,,,,,462c37f1-40ba-4c74-977f-b93d3dce1b9a,pfs1|9242-00001,Pb_424_length_16609_cov_31.8938_ID_847,104,2345,-,467,,,,,PAP9_1,Probable inactive purple acid phosphatase 9,GO:0003993|GO:0046872,,,16609
61,eb49d7f8-a4cd-430f-9e5b-947d128c7f4d,0.0,0.0,0.0,0.0,0.0,0.11623308630000001,0.0,0.0,0.0172231529,0.0,0.1701211219,,,,,,,,,,,eb49d7f8-a4cd-430f-9e5b-947d128c7f4d,eb49d7f8-a4cd-430f-9e5b-947d128c7f4d-mRNA,Pb_2374_length_1718_cov_37.9874_ID_4747,109,601,-,158,,,,,,,,,,1718
62,509ac57f-2363-421d-9c13-7dbe69a38b32,0.0,0.0,0.0,0.0,0.0,0.19168012399999998,0.0,0.08309107660000001,0.0,0.0632275581,0.1692456504,,,,,,,,,,,509ac57f-2363-421d-9c13-7dbe69a38b32,pfs1|6796-00001,Pb_29_length_92859_cov_37.5794_ID_57,8980,9643,-,220,,,,,NEDP1,NEDD8-specific protease 1,GO:0006508|GO:0008234,,,92859
63,4ee060f6-1473-4f05-8da6-a74e771968fe,0.0,0.08551662970000001,0.0671762975,0.0,0.0,0.0,2.5147862513,0.0,0.8738482893,0.0,0.1464502177,,,SNP,,Palmitoyltransferase /  DHHC domain,Palmitoyl transferase [Phytophthora palmivora var. palmivora],,,,,4ee060f6-1473-4f05-8da6-a74e771968fe,pfs1|10607-00001,Pb_54_length_74345_cov_32.2112_ID_107,29348,30970,+,404,,,,,Zdhhc16,Palmitoyltransferase ZDHHC16,GO:0008270,,,74345
64,b850ce3f-d4ce-41d6-9052-ebc498c9fb6f,0.0,0.1509501896,0.0131995049,0.0,0.0263807486,0.0,0.0415192895,0.0,0.4773629612,0.0,0.1403502395,,,,,,,,,,,b850ce3f-d4ce-41d6-9052-ebc498c9fb6f,pfs1|3858-00001,Pb_198_length_41244_cov_30.9466_ID_395,26296,27996,+,534,,,,,,,,,,41244
65,3b9ace77-f27d-4404-9fab-326cfd70e9b8,0.0,0.0,0.028439577400000002,0.0,0.036129988700000004,0.0,0.0,0.0,0.0,0.0,0.139840655,,,,,,,,,,,3b9ace77-f27d-4404-9fab-326cfd70e9b8,pfs1|182-00001,Pb_1047_length_4496_cov_20.7915_ID_2093,1334,1679,+,114,,,inside repeat region,,,,,,,4496
